,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
27-Jan,Mozart- 1956,Rosamund Pike- 1979,Lewis Carroll- 1832,Daisy Lowe- 1989,John Hurt- 2017,Francis Drake- 1596,1948 - First Tape Recorder sold,2013 - Andy Murray loses Australian Open final to Djokovic
28-Jan,Elijah Wood- 1981,Gigi Buffon- 1978,Will Poulter- 1993,Henry VII- 1457,Henry VIII- 1547,Charlemagne- 814,1813 - Pride and Prejudice is published,1887 - work begins on Eiffel Tower
29-Jan,Oprah Winfrey- 1954,Adam Lambert- 1982,William McKinley- 1843,Rag N Bone Man- 1985,George III- 1820,Robert Frost- 1963,1595 - Romeo and Juliet first performed,1886 - First automobile patented by Karl Benz
30-Jan,Christian Bale- 1974,Franklin D Roosevelt- 1882,Phil Collins- 1961,Peter Crouch- 1981,Mahatma Gandhi- 1948,Geraldine McEwan- 2015,1487 - Bell Chimes Invented,1933 - Hitler becomes Chancellor of Germany
31-Jan,Justin Timberlake- 1981,Marcus Mumford- 1987,Johnny Rotten- 1956,Minnie Driver- 1970,Terry Wogan- 2016,AA Milne- 1956,1971 - Apollo 14 launched,1999 - Family Guy first airs
01-Feb,Harry Styles- 1994,Elisabeth Sladen- 1946,Ronda Rousey- 1987,Oliver Heldens- 1995,Mary Shelley- 1851,Piet Mondrian- 1944,1893 - Thomas Edison completes world's first movie studios,1982 - Late Night with David Letterman first airs in US
02-Feb,Shakira- 1977,Gerard Pique- 1987,Gemma Arterton- 1986,Christine Bleakley- 1979,Gene Kelly- 1996,Philip Seymour Hoffman- 2014,1901 - Queen Victoria's funeral takes place,1974 - Barbra Streisand has her first #1 hit
03-Feb,Warwick Davis- 1970,Amal Clooney- 1978,Isla Fisher- 1976,Sean Kingston- 1990,Woodrow Wilson- 1924,Maurice White- 2016,"1967 - Jimi Hendrix records ""Purple Haze""",2016 - Barack Obama visits his first US mosque
04-Feb,Alice Cooper- 1948,Kimberley Wyatt- 1982,Dara O Briain- 1972,Natalie Imbruglia- 1975,Liberace- 1987,Ossie Davis- 2005,1784 - First Unmanned balloon flight,1938 - Hitler siezes control of German army
05-Feb,Cristiano Ronaldo- 1985,Neymar- 1992,Michael Sheen- 1969,Carlos Tevez- 1984,George Bass- 1803,Doug McClure- 1995,"1936 - ""Modern Time"" film is released- starring Charlie Chaplin",1974 - British miners strikes begin
06-Feb,Bob Marley- 1945,Ronald Reagan- 1911,Rick Astley- 1966,Dane DeHaan- 1986,Jack Kirby- 1994,George VI- 1952,1778 - Britain declares war on france,1952 - Elizabeth II becomes queen 
