,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
25-Apr,Al Pacino- 1940,Len Goodman- 1974,Renee Zellweger- 1969,Johan Cryuff- 1947,Ginger Rogers- 1995,Tito Vilanova- 2014,1660 - English parliament votes to restore monarchy,1945 - Soviet Army completely surrounds Berlin
26-Apr,Melania Trump- 1970,Channing Tatum- 1980,Roger Taylor- 1960,Jet Li- 1963,Lucille Ball- 1994,Srinivasa Ramanujan- 1920,1954 - Seven Samurai is released in cinema,1755 - First Russian university opens
27-Apr,Patrick Stump- 1984,Jenna Coleman- 1986,Tess Daly- 1969,Ulysses S Grant- 1822,Ferdinand Magellan- 1521,Ruth Handler- 2002,1810 - Beethoven composes fur elise,1961 - Sierra Leone declares independence from UK
28-Apr,Jessica Alba- 1981,Penelope Cruz- 1974,Jay Leno- 1950,Harper Lee- 1926,Benito Mussolini- 1945,Alf Ramsay- 1999,1770 - James Cook lands on Australia for first time,1969 - Charles De Gaulle resigns as president of France
29-Apr,Uma Thurman- 1970,Michelle Pfeiffer- 1958,Kian Egan- 1980,Daniel Day-Lewis- 1957,Alfred Hitchcock- 1980,Albert Hofmann- 2008,2011 - Wedding of Prince William and Kate Middleton,1429 - Joan of Arc arrives at the siege of Orleans
30-Apr,Gal Gadot- 1985,Leigh Francis- 1973,Kirsten Dunst- 1982,Kunal Nayyar- 1981,Adolf Hitler- 1945,Eva Braun- 1945,1789 - George Washington inaugrated as first president of US,1859 - A Tale of Two Cities is published
01-May,Joanna Lumley- 1946,Jamie Dornan- 1982,Tim McGraw- 1967,James Murray- 1976,Ayrton Senna- 1994,Joseph Goebbels- 1945,1952 - Mr Potato Head released in stores,2000 - Gladiator premieres in LA
02-May,David Beckham- 1975,Dwayne Johnson- 1972,Engelbert Humperdink- 1936,Princess Charlotte- 2015,Leonardo Da Vinci- 1519,Jeff Hanneman- 2013,1945 - Battle of Berlin ends,2011 - Osama Bin Laden is killed by US special forces
03-May,Rob Brydon- 1965,Christina Hendricks- 1975,Mary Lambert- 1989,Bing Crosby- 1903,Jackie Cooper- 2011,James McHenry- 1816,1915 - In Flanders Field poem written,1944 - Meat Rationing ends in US
04-May,Audrey Hepburn- 1929,Rory McIlroy- 1989,Laura Whitmore- 1985,Will Arnett- 1976,Diana Dors- 1984,Elena Baltacha- 2014,1851 - A quarter of San Francisco destroyed in fire,1979 - Margaret Thatcher becomes fist female prime minister of UK
05-May,Adele- 1988,Henry Cavill- 1983,Karl Marx- 1818,Craig David- 1981,Napoleon Bonaparte- 1821,John Flynn- 1951,1912 - 5th Olympic Games open in Stockholm,1944 - Gandhi freed from prison
06-May,George Clooney- 1961,Tony Blair- 1953,Dani Alves- 1983,Adrianne Palicki- 1983,Marlene Dietrich- 1992,Edward VII- 1910,1682 - Louis XIV moves his court to Versailles,1941 - Joseph Stalin becomes premier of USSR
07-May,Alexander Ludwig- 1992,Pyotr- Ilyich Tchaikovsky- 1840,Michael Rosen- 1946,Sydney Leroux- 1990,Seve Ballesteros- 2011,Max Miller- 1963,1913 - House of Commons rejects women's right to vote,1945 - Unconditional German surrender announced
08-May,David Attenborough- 1926,Enrique Iglesias- 1975,Harry S Truman- 1884,Matt Willis- 1983,George Peppard- 1994,William Schallert- 2016,1945 - VE Day,2016 - Sadiq Khan becomes first muslim mayor of London
09-May,Billy Joel- 1949,Albert Finney- 1936,Rosario Dawson- 1979,Danny Duncan- 1986,Lena Horne- 2010,Vidal Sassoon- 2012,2005 - The Huffington Post is launched,2009 - Jacob Zuma becomes South African President
10-May,Bono- 1960,Fred Astaire- 1899,Dennis Bergkamp- 1969,Adebayo Akinfenwa- 1982,Louis XV- 1774,Joan Crawford- 1977,1503 - Columbus discovers Cayman Islands,2014 - Conchita Wurst wins Eurovision song contest for Austria
11-May,Salvador Dali- 1904,Pam Ferris- 1948,Holly Valance- 1983,Andres Iniesta- 1984,John Cadbury- 1889,Bob Marley- 1981,1858 - Minnesota becomes 23rd state,2010 - David Cameron becomes prime minister of UK
12-May,Domhnall Gleeson- 1983,Florence Nightingale- 1820,Rami Malek- 1981,Tony Hawk- 1968,Perry Como- 2001,Robert Reed- 1992,1870 - Manitoba becomes 5th province of Canada,1994 - Pulp Fiction premieres at Cannes film festival
13-May,Robert Pattinson- 1986,Iwan Rheon- 1985,Romelu Lukaku- 1993,Richard Madeley- 1956,Gary Cooper- 1961,Donald Dunn- 2012,1884 - IEEE forms in New York,2012 - Man City win premier league title
14-May,George Lucas- 1944,Cate Blanchett- 1969,Mark Zuckerberg- 1984,Olly Murs- 1984,Frank Sinatra- 1998,BB King- 2015,2013 - Brazil legalises same sex marriage,2013 - Dan Brown releases 4th book in Da Vinci Code series- titled Inferno
15-May,Andy Murray- 1987,Zara Phillips- 1981,Sarah Hadland- 1971,Ousmane Dembele- 1997,Emily Dickinson- 1886,Ian Brady- 2017,2004 - Shrek 2 premieres at Cannes film festival,2005 - Star Wars Episode 3 premieres at Cannes film festival
16-May,Thomas Brodie Sangster- 1990,Pierce Brosnan- 1953,Janet Jackson- 1966,Megan Fox- 1986,Chuck Brown- 2012,Margaret Hamilton- 1985,1991 - Elizabeth II becomes first  monarch to address US congress,2011 - SS Endeavour launches on its final voyage into space
17-May,Matt Ryan- 1985,Bob Saget- 1956,Bill Paxton- 1955,Passenger- 1984,Chris Cornell- 2017,Guy Clark- 2016,2009 - Minecraft first released,2006 - Barcelona beats Arsenal in Champions League Final
18-May,Chow Yun Fat- 1955,Pope John Paul II- 1920,Tina Fey- 1970,Jack Johnson- 1975,Ian Curtis- 1980,Gustav Mahler- 1911,1995 - Braveheart premieres at Seattle film festival,2001 - Shrek is released in cinemas
19-May,Sam Smith- 1992,Andrea Pirlo- 1979,Peter Mayhew- 1944,Eleanor Tomlinson- 1992,Alan Young- 2016,Morley Safer- 2016,1999 - Star Wars: The Phantom Menace released in cinemas,2012 - Chelsea win Champions League for the first time
20-May,Jack Gleeson- 1992,Chris Froome- 1985,Iker Casillas- 1981,Petr Cech- 1982,Christopher Columbus- 1506,John Petwee- 1996,1609 - Shakespeare's sonnets are published for the first time,2017 - Donald Trump begins his first overseas trip as president
21-May,Tom Daley- 1994,Mr. T- 1952,Noel Fielding- 1973,Gotye- 1980,Jane Addams- 1935,Phineas Gage- 1860,1980 - Star Wars: The Empire strikes back opens in cinemas,2008 - Man United beat Chelsea on penalties to win Champions League
22-May,Novak Djokovic- 1987,George Best- 1946,Morrissey- 1959,Naomi Campbell- 1970,Nicky Hayden- 2017,Dina Merrill- 2017,2017 - Terrorist attack at manchester arena kills 22,1985 - A View to a kill premieres in San Francisco
23-May,Joan Collins- 1933,Melissa McBride- 1965,Jason Nash- 1973,Linden Ashby- 1960,Roger Moore- 2017,Anne Meara- 2015,1984 - Indiana Jones and the temple of doom opens in cinemas,1994 - Final episode of Star Trek: The next greneration airs
24-May,Queen Victoria- 1819,Dermot O'Leary- 1973,John C.Reilly- 1965,Eric Cantona- 1966,Copernicus- 1543,Harold Wilson- 1995,1902 - Empire Day first celebrated ,2017 - Man United win Europa League- beating Ajax 2-0
25-May,Mike Myers- 1953,Ian McKellen- 1939,Cillian Murphy- 1976,Esme Bianco- 1982,Gustav Holst- 1934,Sloan Wilson- 2003,2017 - Wonder Woman premieres in Los Angeles,2005 - 'Miracle in Istanbul' Liverpool win Champions league after being 3-0 down
26-May,Helena Bonham Carter- 1966,Lenny Kravitz- 1964,John Wayne- 1907,Jeremy Corbyn- 1949,Samuel Pepys- 1703,Eddie Albert- 2005,1940 - Evacuation of Dunkirk begins,1969 - Apollo X astronauts return to earth
27-May,Jamie Oliver- 1975,Christopher Lee- 1922,Cilla Black- 1943,Paul Bettany- 1971,Bill Pertwee- 2013,Gregg Allman- 2017,1941 - German ship 'Bismarck' sunk by british navy,2017 - Arsenal beat Chelsea to win FA Cup
28-May,Kylie Minogue- 1968,Kyle Walker- 1990,Carey Mulligan- 1985,Marco Rubio- 1971,Maya Angelou- 2014,Edward VIII- 1972,2016 - Harambe is shot by zookeepers,1937 - Neville Chamberlain becomes prime minister of Britain
29-May,John F Kennedy- 1917,Mel B- 1975,Noel Gallagher- 1967,Laverne Cox- 1972,Dennis Hopper- 2010,Jeff Buckley- 1997,1848 - Wisconsin becomes 30th state,2015 - Jurassic World premieres in Paris
30-May,Steven Gerrard- 1980,CeeLo Green- 1974,Mark Sheppard- 1964,Idina Menzel- 1971,Joan of Arc- 1431,Wilbur Wright- 1912,1381 - English peasants revolt begins in Essex,2015 - Alistair Cook becomes England's leading test run scorer
31-May,Clint Eastwood- 1930,Colin Farrell- 1976,John Prescott- 1938,Reggie Yates- 1983,Joseph Haydn- 1809,Joan Stapleton- 2013,2004 - Harry Potter and the Prisoner of Azkaban released in cinemas,2014 - Gangnam Style becomes first video to reach 2 billion views on youtube
01-Jun,Tom Holland- 1996,Heidi Klum- 1973,Amy Schumer- 1981,Sarah Wayne Callies- 1977,James Buchanan- 1868,Yves Saint Laurent- 2008,2007 - Smoking is banned from public places in UK,1979 - First black government takes power in Rhodesia (Zimbabwe)
02-Jun,Zachary Quinto- 1977,Dominic Cooper- 1978,Sergio Aguero- 1988,Steve Smith- 1989,Peter Sallis- 2017,Richard Dawson- 2012,2017 - US withdraws from Paris Climate Agreement,1989 - Dead Poets Society premieres
03-Jun,Rafael Nadal- 1986,Michelle Keegan- 1987,Mario Gotze- 1992,Penelope Wilton- 1946,Muhammed Ali- 2016,William Harvey- 1657,1944 - Nazis pull out of Rome,2014 - Hashim Amla becomes first non white South African cricket captain
04-Jun,Russell Brand- 1975,Bradley Walsh- 1960,Sean Pertwee- 1964,Mollie King- 1987,Jane Seymour- 1536,Roger Smith- 2017,1896 - Henry Ford drives first ford motorcar on the road,2017 - OneLove Manchester concert in support of victims of terror attack
05-Jun,Mark Wahlberg- 1971,Pete Wentz- 1979,Joe Gatto- 1976,Kenny G- 1956,Ronald Reagan- 2004,Cheick Tiote- 2017,1944 - Allied forces take Rome,2016 - Novak Djokovic completes 'career slam' by winning french open
06-Jun,Jason Isaacs- 1963,Paul Giamatti- 1967,Ross MacDonald- 1989,Ayden Callaghan- 1981,Kimbo Slice- 2016,Jack Haley- 1979,1944 - Allied forces land on Normandy beaches,1999 - 345 prisoners escape in largest jailbreak ever in Brazil
07-Jun,Liam Neeson- 1952,Prince- 1958,Tom Jones- 1940,Bear Grylls- 1974,Christopher Lee- 2015,Alan Turing- 1954,2016 - Harry Potter and the Cursed Child opens in London,2015 - 41st G7 summit held in Germany
08-Jun,Kanye West- 1977,Joel Dommett- 1985,Bonnie Tyler- 1951,Joan Rivers- 1933,Andrew Jackson- 1845,Glenne Headly- 2017,2017 - UK general election results in hung parliament,1984 - Ghostbusters is released in cinemas
09-Jun,Johnny Depp 1963,Natalie Portman- 1981,Michael J Fox- 1961,Miroslav Klose- 1978,Charles Dickens- 1870,Rik Mayall- 2014,2017 - Venus Williams causes death of passenger in car crash,1940 - Norway surrenders to the nazis
10-Jun,Prince Phillip- 1921,Kate Upton- 1992,Judy Garland- 1922,Liz Hurley- 1965,Antoni Gaudi- 1926,Ray Charles- 2004,1947 - Saab produces its first car,2007 - Final episode of the sopranos airs on television
11-Jun,Shia Labeouf- 1986,Peter Dinklage- 1969,Hugh Laurie- 1959,Gene Wilder- 1933,John Wayne- 1979,Dusty Rhodes- 2015,1993 - Jurassic Park opens in cinemas,1978 - Grease opens in cinemas
12-Jun,Dave Franco- 1985,Anne Frank- 1929,Richard Ayoade- 1977,George Bush Sr- 1924,Gregory Peck- 2003,Ruby Dee- 2014,1926 - Brazil leaves League of Nations,1964 - Nelson Mandela is sentenced to life in prison
13-Jun,Chris Evans- 1981,Aaron Taylor Johnson- 1990,Kym Marsh- 1976,Stellan Skarsgard- 1951,Jimmy Dean- 2010,Benny Goodman- 1986,2000 - Samuel L Jackson gets a star on Hollywood walk of fame,2008 - Viva La Vida released by coldplay
14-Jun,Donald Trump- 1946,Boy George- 1961,Alan Carr- 1976,Paul O'Grady- 1955,Emmeline Pankhurst- 1928,Benedict Arnold- 1801,1942 - Bambi released in cinemas,2005 - Asafa Powell breaks 100m world record- running 9.77s
15-Jun,Neil Patrick Harris- 1973,Xi Jinping- 1953,Courteney Cox- 1964,Mo Salah- 1992,James K Polk- 1849,James Hunt- 1993,2005 - Batman Begins opens in cinemas,1997 - Naomi Campbell hospitalised after drug overdose
16-Jun,John Newman- 1990,Jurgen Klopp- 1967,Phil Mickleson- 1970,Stan Laurel- 1890,Jo Cox- 2016,Lady Diana Cooper- 1986,2016 - MP Jo Cox is murdered- the first MP to be killed since 1990,1960 - Psycho- directed by Alfred Hitchcock- opens in cinemas
17-Jun,Barry Mannilow- 1943,Arthur Darvill- 1982,Venus Williams- 1980,Kendrick Lamar- 1987,Ron Lester- 2016,Jeff Chandler- 1961,1938 - Japan declares war on China,1950 - first kidney transplant takes place
18-Jun,Paul McCartney- 1942,Richard Madden- 1986,Delia Smith- 1941,Willa Holland- 1991,Peter Allen- 1992,Libby Holman- 1971,1815 - Battle of Waterloo,1970 - Conservatives- lead by Ted Heath- win election
19-Jun,Boris Johnson- 1964,Macklemore- 1983,Aidan Turner- 1983,Hugh Dancy- 1975,Anton Yelchin- 2016,James Gandolfini- 2013,1917 - British Royal Family changes surname to Windsor,1991 - Pablo Escobar arrested
20-Jun,Lionel Richie- 1949,Nicole Kidman- 1967,Frank Lampard- 1978,John Goodman- 1952,Jack Kilby- 2005,Albert Johnson- 2017,1837 - Queen Victoria becomes queen- aged 18,1867 - US purchases Alaska from Russia
21-Jun,Chris Pratt- 1979,Prince William- 1982,Brandon Flowers- 1981,David Morrissey- 1964,John Smith- 1631,Carroll O'Connor- 2001,2003 - Harry Potter and the Order of the Pheonix is published,1547 - Fires in Moscow kill 2000-3000
22-Jun,Meryl Streep- 1949,Danny Baker- 1958,Dan Brown- 1964,Jo Cox- 1974,Judy Garland- 1969,Fred Astaire- 1987,1675 - Royal Observatory established,1982 - Prince William bought home from hospital by his parents
23-Jun,Alan Turing- 1912,Melissa Rauch- 1980,Jason Mraz- 1977,Zinedine Zidane- 1972,Chuck Taylor- 1969,Peter Falk- 2001,1955 - Lady and the Tramp is released,1975 - Alice Cooper breaks 6 ribs after falling off stage
24-Jun,Lionel Messi- 1987,Solange Knowles- 1986,Iain Glen- 1961,Stuart Broad- 1986,Grover Cleveland- 1908,Chris Benoit- 2007,2016 - UK votes to leave the EU,2006 - Pirates of the Carribean: Dead mans chest becomes fastest film to gross 1bn dollars
25-Jun,George Michael- 1963,Ricky Gervais- 1961,Sheridan Smith- 1981,Jamie Redknapp- 1973,Michael Jackson- 2009,James Stirling- 1992,1947 - Anne Frank's diary published in Netherlands,1982 - Blade Runner is released in cinemas
26-Jun,Ariana Grande- 1993,Ryan Tedder- 1979,Chris O'Donnell- 1970,Paolo Maldini- 1968,Denis Thatcher- 2003,David Davis- 1886,1945 - United Nations charter signed by 50 countries,1977 - Elvis Presley performs for the last time in his career
27-Jun,JJ Abrams- 1966,Sam Claflin- 1986,Matthew Lewis- 1989,Chandler Riggs- 1999,Michael Bond- 2017,Jack Lemmon- 2001,1944 - Cherbourg captured by Allied forces,2007 - Tony Blair resigns as UK Prime Minister- Gordon Brown becomes PM
28-Jun,Henry VIII- 1491,Elon Musk- 1971,Kathy Bates- 1948,Tamara Eccleston- 1981,James Madison- 1836,Franz Ferdinand- 1914,1914 - Assassination of Franz Ferdinand- triggering events which lead to WW1,1982 - Prince Charles and Princess Diana name first son William
29-Jun,Nicole Scherzinger- 1978,Katherine Jenkins- 1978,George Sampson- 1993,Sam Bailey- 1977,Katharine Hepburn- 2003,Jayne Mansfield- 1967,1613 - Globe Theatre burns down,2008 - Spain beats Germany 1-0 to win Euro 2008
30-Jun,Mike Tyson- 1966,Cheryl- 1983,Michael Phelps- 1985,Lizzy Caplan- 1982,Alfredo Ferrari- 1956,James Oglethorpe- 1785,1934 - Night of the Long Knives consolidates Hitler's hold on Germany,2005 - Spain legalises same sex marriage
01-Jul,Princess Diana- 1961,Pamela Anderson- 1967,Liv Tyler- 1977,Carl Fogarty- 1965,Marlon Brando- 2004,Stevie Ryan- 2017,1916 - Coca Cola creates new recipe which is still current recipe,2012 - Spain beat Italy 4-0 to win Euro 2012
02-Jul,Margot Robbie- 1990,Peter Kay- 1973,Lindsay Lohan- 1986,Tom Zanetti- 1989,Nostradamus- 1566,Ernest Hemingway- 1961,1940 - Hitler orders invasion of Britain,1998 - Harry Potter and the chamber of secrets published
03-Jul,Tom Cruise- 1962,Olivia Munn- 1980,Sebastien Vettel- 1987,Julian Assange- 1971,Andy Griffith- 2012,Louis Zamperini- 2014,1890 - Idaho becomes 43rd state,1954 - Food rationing ends in Britain
04-Jul,Calvin Coolidge- 1872,Neil Morrissey- 1962,Ronni Ancona- 1968,Henri Leconte- 1963,Thomas Jefferson- 1826,Madame Curie- 1934,1776 - US makes declaration of Independence,2006 - Richard Branson sells virgin mobile for £962.4 million
05-Jul,Shane Filan- 1979,Glen Power- 1978,Jason Dolley- 1981,Gianfranco Zola- 1966,Ted Williams- 2002,Don Nicholl- 1980,1994 - Amazon is founded ,2017 - Volvo announces it will make all new models hybrid or electric power
06-Jul,Kevin Hart- 1979,50 Cent- 1975,Sylvester Stallone- 1946,George W Bush- 1946,Louis Armstrong- 1971,Edward VI- 1553,2016 - Pokemon Go is released,2013 - British and Irish Lions win first test series since 1997
07-Jul,Ringo Starr- 1940,Jack Whitehall- 1988,Jeremy Kyle- 1965,Mahendra Singh Dhoni- 1981,Arthur Conan Doyle- 1930,Bradley Lowery- 2017,2013 - Andy Murray becomes first british man since 1936 to win Wimbledon,2011 - Harry Potter and the Deathly Harrows part 2 premieres in London
08-Jul,Kevin Bacon- 1958,Jaden Smith- 1998,Angelica Huston- 1951,Wolfgang Puck- 1949,Kim Il Sung- 1994,June Allyson- 2006,2015 - New York Stock Exchange stops trading due to technical error,1999 - Harry Potter and the Prisoner of Azkaban published
09-Jul,Tom Hanks- 1956,OJ Simpson- 1947,Douglas Booth- 1992,Georgie Henley- 1995,Zachary Taylor- 1850,Alice Paul- 197,1979 - Voyager 2 flies past Jupiter,2011 - South Sudan declares independence- becoming newest country in world
10-Jul,Sofia Vergara- 1972,Nikola Tesla- 1856,Jessica Simpson- 1980,Perrie Edwards- 1993,Omar Sharif- 2015,John Sutton- 1963,1892 - Wyoming becomes 44th state,1975 - Graham Gooch out for a pair on test debut
11-Jul,Craig Charles- 1964,Giorgio Armani- 1934,John Quincy Adams- 1767,Nina Nesbitt- 1994,Saturo Iwata- 2015,Laurence Olivier- 1989,1533 - Henry VIII excommunicated by Pope Clement VII,2007 - Harry Potter and the Order of the Pheonix opens in cinemas
12-Jul,Michelle Rodriguez- 1978,James Rodriguez- 1991,Topher Grace- 1978,Luke Shaw- 1995,Alexander Hamilton- 1804,Benny Carter- 2003,2013 - Malala Yousafzai addresses UN and calls for education for all,1998 - France beat Brazil 3-0 to win world cup
13-Jul,Harrison Ford- 1942,Patrick Stewart- 1940,Ken Jeong- 1969,Francis Drake- 1540,Cory Monteith- 2013,George Steinbrenner- 2010,1837 - Queen Victoria moves into Buckingham Palace,2016 - Theresa May becomes PM after winning conservative leadership election
14-Jul,Conor McGregor- 1988,Dan Smith- 1986,Gerald Ford- 1913,David Mitchell- 1974,Clarence White- 1973,James Henry- 1876,2014 - Church of England votes to allow women bishops,2008 - The Dark Knight premieres in New York
15-Jul,Olly Alexander- 1990,Diane Kruger- 1976,Forest Whitaker- 1961,Robert Winston- 1940,Martin Landau- 2017,Lawrence Tibbett- 1960,2017 - Garbine Muguruza beats Venus Williams to win Wimbledon title,1988 - Die Hard is released in the US
16-Jul,Will Ferrell- 1967,Gareth Bale- 1989,Luke Hemmings- 1996,WizKid- 1990,Anne of Cleeves- 1557,George A Romero- 2017,1920 - China joins League of Nations,1969 - Apollo XI launched
17-Jul,Angela Merkel- 1954,David Hasselhoff- 1952,Tom Fletcher- 1985,Gino D'Acampo- 1976,Jules Bianchi- 2015,Ted Heath- 2005,1995 - Bill Gates announced as richest man in world,2015 - Ant Man released in cinemas
18-Jul,Nelson Mandela- 1918,Vin Diesel- 1967,Richard Branson- 1950,Saul Alvarez- 1990,Jane Austen- 1817,Thomas Cook- 1892,2012 - Kim Jong Un officially becomes leader of North Korea,1925 - Hitler publishes Mein Kampf
19-Jul,Benedict Cumberbatch- 1976,Brian May- 1947,Nicola Sturgeon- 1970,Helen Skelton- 1983,James Garner- 2014,Gerry Marshall- 2016,1545 - Mary Rose sinks- kiling 73,1940 - Hitler demands that Great Britain surrender
20-Jul,Chris Cornell- 1964,Anton Du Beke- 1966,Judy Greer- 1975,Diana Rigg- 1938,Chester Bennington- 2017,Bruce Lee- 1973,1837 - London Euston station opens,2005 - Canada legalises same sex marriage
21-Jul,Robin Williams- 1951,Paloma Faith- 1981,Rebecca Ferguson- 1986,Josh Hartnett- 1978,John Heard- 2017,Basil Rathbone- 1967,1969 - Neil Armstrong takes first step on the moon,2007 - Harry Potter and the Deathly Hallows published- sells 11m copies in 24 hours
22-Jul,Willem Dafoe- 1955,Selena Gomez- 1992,Ben Barlow- 1994,Blake Harrison- 1985,Estelle Getty- 2008,Dennis Farina- 2013,1992 - Pablo Escobar escapes from prison,2012 - Bradley Wiggins becomes Britain's first winner of Tour De France
23-Jul,Daniel Radcliffe- 1989,Woody Harrelson- 1961,Philip Seymour Hoffman- 1967,Slash- 1965,Amy Winehouse- 2011,Ulysses S Grant- 1885,1798 - Napoleon captures Alexandria in Egypt,1958 - First 4 women admitted into house of Lords
24-Jul,Jennifer Lopez- 1969,Danny Dyer- 1977,Rose Byrne- 1979,Anna Paquin- 1982,Alex Higgins- 2010,Peter Sellers- 1980,1567 - Mary Queen of Scots abdicates,1969 - Apollo XI returns to Earth
25-Jul,Matt LeBlanc- 1967,Toni Duggan- 1991,James Lafferty- 1985,Ali Carter- 1979,Barbara Sinatra- 2017,Harry Warner- 1958,2012 - Summer Olympics begin in London,1943 - Mussolini sacked as leader of Italy and arrested
26-Jul,Kate Beckinsale- 1973,Sandra Bullock- 1964,Stormzy- 1993,Mich Jagger- 1943,George W Romney- 1995,Bobbi Kristina Brown- 2015,1865 - Capital of NZ changes from Auckland to Wellington,1945 - Clement Attlee becomes PM 
27-Jul,Nikolaj Coster-Waldau- 1970,Jonathan Rhys Meyers- 197,Maya Rudolph- 1972,Jordan Spieth- 1993,Bob Hope- 2003,Sam Shepard- 2017,2012 - Official opening of London Olympics,1643 - Battle of Gainsborough won by Oliver Cromwell
28-Jul,Harry Kane- 1993,Cher Lloyd- 1993,Garfield Sobers- 1936,Brad Simpson- 1995,JS Bach- 1750,Charlie Gard- 2017,1914 - Beginning of World War 1,1951 - Alice in Wonderland released
29-Jul,Joey Essex- 1990,Wil Wheaton- 1972,Tim Gunn- 1953,Fernando Alonso- 1981,Vincent Van Gogh- 1890,Jimmy Nelson- 2007,1907 - Robert Baden Powell froms the Boy Scouts,1954 - Fellowship of the ring by JRR Tolkein is published
30-Jul,Arnold Schwarzenegger- 1947,Lisa Kudrow- 1963,Henry Ford- 1863,Hilary Swank- 1974,Otto Van Bismarck- 1889,William Penn- 1718,1966 - England win world cup- beating Germany 4-2 in final,2006 - Top of the Pops airs for the final time
31-Jul,J.K. Rowling- 1965,Wesley Snipes- 1962,Richard Griffiths- 1947,Antonio Conte- 1969,Bobby Robson- 2009,Jim Reeves- 1964,1498 - Christopher Columbus discovers Trinidad,2016 - Harry Potter and the Cursed Child is published
01-Aug,Jack O'Connell- 1990,Jason Momoa- 1979,Van McCann- 1992,Bastian Schweinsteiger- 1984,Francis Gary Powers- 1977,Calamity Jane- 1903,1936 - Hitler opens 11th Olympic Games,1991 - Diego Maradona announces his retirement
02-Aug,Sam Worthington- 1976,Jonas Blue- 1989,Charli XCX- 1992,Peter O'Toole- 1932,Alexander Graham Bell- 1922,Cilla Black- 2015,1718 - Austria joins Triple Alliance,1819 - first parachute jump
03-Aug,Tom Brady- 1977,Martha Stewart- 1941,Evangeline Lilly- 1979,Terry Wogan- 1938,Robert Hardy- 2017,Carolyn Jones- 1983,1492 - Christopher Columbus departs on his first voyage,1934 - Hitler declares himself fuhrer
04-Aug,Barack Obama- 1961,Louis Armstrong- 1900,Meghan Markle- 1981,Lee Mack- 1968,Eddie Condon- 1973,Hans Christian Andersen- 1875,1944 - Anne Frank and family arrested in Amsterdam,1956 - Elvis Presley released Hound Dog
05-Aug,Neil Armstrong- 1930,Louis Walsh- 1952,Wayne Bridge- 1980,Janet McTeer- 1961,Alec Guinness- 2000,Marilyn Monroe- 1962,1305 - William Wallace captured by the English ,1926 - Houdini stays in coffin for 1.5 hours underwater
06-Aug,Geri Haliwell- 1972,Barbara Windsor- 1937,Andy Warhol- 1928,Spencer Matthews- 1989,Rick James- 2004,John Hughes- 2009,1945 - First Atomic Bomb is dropped on Hiroshima- killing 40-000 people,1991 - Tim Berners Lee announces plans for World Wide Web
07-Aug,Charlize Theron- 1975,Josh Franceschi- 1990,Melanie Sykes- 1970,Helen Flanagan- 1990,Mary Trump- 2000,Oliver Hardy- 1957,1914 - Your country needs you posters distributed across UK,1983 - First world Athletics Championships
08-Aug,Shawn Mendes- 1998,Dustin Hoffman- 1937,Chris Eubank- 1966,Roger Federer- 1981,Glen Campbell- 2017,Patricia Neal- 2010,1979 - Saddam Hussein has 22 political opponents killed,2008 - Olympic Games open in Beijing
09-Aug,Eric Bana- 1968,Gillian Anderson- 1968,Anna Kendrick- 1985,Whitney Houston- 1963,Bernie Mac- 2008,Sharon tate- 1969,1945 - Second Atomic bomb is dropped on Nagasaki- killing 80-000 people,1936 - Black Athlete Jesse Owens wins 4th medal at Olympic Games
10-Aug,Antonio Banderas- 1960,Roy Keane- 1971,Lucas Till- 1990,Kylie Jenner- 1997,Isaac Hayes- 2008,John Saunders- 2016,1821 - Missouri becomes 21st state,1966 - First lunar orbiter launched by US
11-Aug,Chris Hemsworth- 1983,Hulk Hogan- 1953,Enid Blyton- 1897,Steve Wozniak- 1950,Robin Williams- 2014,Peter Cushing- 1994,1919 - Weimar republic begins ,1977 - Geoffrey Boycott scores 100th first class 100
12-Aug,Cara Delevigne- 1992,Casey Affleck- 1975,Tyson Fury- 1988,Mario Balotelli- 1990,Les Paul- 2009,Ian Fleming- 1964,1908 - Ford builds Model T,2012 - Olympic Games close in London
13-Aug,Sebastien Stan- 1982,Alfred Hitchcock- 1899,Alan Shearer- 1970,Phil Taylor- 1960,Florence Nightingale- 1910,Kenny Baker- 2016,2016 - Michael Phelps swims his final race,1997 - first episode of south park airs
14-Aug,Halle Berry- 1966,Nick Grimshaw- 1984,Paddy McGuinness- 1973,Mila Kunis- 1983,Enzo Ferrari- 1988,Shammi Kapoor- 2011,1947 - Pakistan gains independence from Inda and Britain- ,1948 - Don Bradman out for a duck in his final innings
15-Aug,Ben Affleck- 1972,Jennifer Lawrence- 1990,Joe Jonas- 1989,Napoleon Bonaparte- 1769,Julian Bond- 2015,Will Rogers- 1935,1945 - Surrender of Japan is announced,2015 - North Korea creates its own time zone at GMT+8.5
16-Aug,Steve Carrell- 1962,Madonna- 1958,James Cameron- 1954,Evanna Lynch- 1991,John Pemberton- 1888,JP McCarthy- 1995,2012 - Julian Assange is granted political asylum in the Ecuadorian embassy,2008 - Usain Bolt sets 100m world record
17-Aug,Robert De Niro- 1943,Sean Penn- 1960,Lady Colin Campbell- 1949,Thierry Henry- 1977,Ira Gershwin- 1983,Vivian Vance- 1979,1946 - George Orwell publishes Animal Farm,1979 - The life of Brian premieres
