Ellen DeGeneres - 1958,Wayne Gretzky - 1961,Jose Mourinho - 1963,Eddie Van Halen - 1955,Edward Jenner - 1823,Barbara Hale - 2017,1340 - Edward III of england becomes king of france,1980 - 175 -000 pay to see Frank Sinatra sing in Rio de Janeiro
Mozart - 1956,Rosamund Pike - 1979,Lewis Carroll - 1832,Daisy Lowe - 1989,John Hurt - 2017,Francis Drake - 1596,1948 - First Tape Recorder sold,2013 - Andy Murray loses Australian Open final to Djokovic
Elijah Wood - 1981,Gigi Buffon - 1978,Will Poulter - 1993,Henry VII - 1457,Henry VIII - 1547,Charlemagne - 814,1813 - Pride and Prejudice is published,1887 - work begins on Eiffel Tower
Oprah Winfrey - 1954,Adam Lambert - 1982,William McKinley - 1843,Rag N Bone Man - 1985,George III - 1820,Robert Frost - 1963,1595 - Romeo and Juliet first performed,1886 - First automobile patented by Karl Benz
Christian Bale - 1974,Franklin D Roosevelt - 1882,Phil Collins - 1961,Peter Crouch - 1981,Mahatma Gandhi - 1948,Geraldine McEwan - 2015,1487 - Bell Chimes Invented,1933 - Hitler becomes Chancellor of Germany
Justin Timberlake - 1981,Marcus Mumford - 1987,Johnny Rotten - 1956,Minnie Driver - 1970,Terry Wogan - 2016,AA Milne - 1956,1971 - Apollo 14 launched,1999 - Family Guy first airs
Harry Styles - 1994,Elisabeth Sladen - 1946,Ronda Rousey - 1987,Oliver Heldens - 1995,Mary Shelley - 1851,Piet Mondrian - 1944,1893 - Thomas Edison completes world's first movie studios,1982 - Late Night with David Letterman first airs in US
Shakira - 1977,Gerard Pique - 1987,Gemma Arterton - 1986,Christine Bleakley - 1979,Gene Kelly - 1996,Philip Seymour Hoffman - 2014,1901 - Queen Victoria's funeral takes place,1974 - Barbra Streisand has her first #1 hit
Warwick Davis - 1970,Amal Clooney - 1978,Isla Fisher - 1976,Sean Kingston - 1990,Woodrow Wilson - 1924,Maurice White - 2016,"1967 - Jimi Hendrix records ""Purple Haze""",2016 - Barack Obama visits his first US mosque
Alice Cooper - 1948,Kimberley Wyatt - 1982,Dara O Briain - 1972,Natalie Imbruglia - 1975,Liberace - 1987,Ossie Davis - 2005,1784 - First Unmanned balloon flight,1938 - Hitler siezes control of German army
Cristiano Ronaldo - 1985,Neymar - 1992,Michael Sheen - 1969,Carlos Tevez - 1984,George Bass - 1803,Doug McClure - 1995,"1936 - ""Modern Time"" film is released - starring Charlie Chaplin",1974 - British miners strikes begin
Bob Marley - 1945,Ronald Reagan - 1911,Rick Astley - 1966,Dane DeHaan - 1986,Jack Kirby - 1994,George VI - 1952,1778 - Britain declares war on france,1952 - Elizabeth II becomes queen 
Charles Dickens - 1812,James Spader - 1960,Chris Rock - 1965,Ashton Kutcher - 1978,Pope Pius IX - 1878,Viola Desmond - 1965,1940 - British Railways nationalised,1940 - Pinocchio premieres in New York
James Deam - 1931,Seth Green - 1974,Dani Harmer - 1989,John Williams - 1932,Mary Queen of Scots - 1587,Tara Palmer Tomkinson - 2017,1922 - James I disbands english parliament,1968 - Planet of the Apes premieres in New York
Tom Hiddleston - 1981,Michael B Jordan - 1987,Rose Leslie - 1987,Joe Pesci - 1943,Princess Margaret - 2002,Barry Evans - 1997,1825 - James Quincy Adams becomes 6th president,1971 - Apollo 14 returns to earth
Chloe Grace Moretz - 1997,Holly Willoughby - 1981,Justin Gatlin - 1982,Elizabeth Banks - 1973,Shirley Temple - 2014,Jospeh Lister - 1912,1814 - French beat Russians at battle of Champaubert,1918 - Russia leaves WW1
Thomas Edison - 1847,Jennifer Aniston - 1969,Taylor Lautner - 1992,Natalie Dormer - 1982,Whitney Houston - 2012,Alexander McQueen - 2010,1531 - Henry VIII founds Church of England,1809 - Steamboat is patented
Abraham Lincoln - 1809,Charles Darwin - 1809,Josh Brolin - 1968,Christina Ricci - 1980,Gary Owens - 2015,Charles Schulz - 2000,1554 - Lady Jane Grey  executed for treason,1818 - Chile gains independence from Spain
Robbie Williams - 1974,Katie Hopkins - 1975,Hugh Dennis - 1962,Jerry Springer - 1944,Richard Wagner - 1883,Christabel Pankhurst - 1958,1861 - Abraham Lincoln declared US President,1982 - Pink Floyd's Dark Side of the Moon breaks record for most weeks in charts 
Freddie Highmore - 1992,Simon Pegg - 1970,Teller - 1948,Christian Eriksen - 1992,James Cook - 1779,Tom Finnay - 2014,1859 - Oregon becomes 33rd state,1931 - Original Dracula film released
Galileo - 1564,Ziggy - 1991,Alex Borstein - 1973,Matt Groening - 1955,Nat King Cole - 1965,Richard Feynman - 1988,1933 - Franklin Roosevelt is target of failed assassination,1936 - Hitler announces building of Volkswagen automobiles
Amanda Holden - 1971,Elizabeth Olsen - 1989,Christopher Eccleston - 1964,Levar Burton - 1957,Lesley Gore - 2015,Elyse Knox - 2012,1923 - Explorers discover tomb of tutankhamun,1945 - Venezuela enters WW2
Ed Sheeran - 1991,Paris Hilton - 1981,Joseph Gordon Levitt - 1981,AB De Villiers - 1984,Richard Briers - 2013,Mindy McCready - 2013,1865 - City of Columbia - South Carolina burns down,2008 - Kosovo declares independence from Serbia
Yoko Ono - 1933,Dr Dre - 1965,Gary Neville - 1975,John Travolta - 1954,Michaelangelo - 1564,Robert Oppenheimer - 1967,1861 - Victor Emmanuel II becomes first king of Italy,1901 - Churchill makes maiden speech in house of commons
Luke Pasqualino - 1990,Benicio Del Torro - 1967,Smoky Robinson - 1940,David Gandy - 1980,Harper Lee - 2016,Ernest Manning - 1996,1984 - 14th winter olympics close ,1971 - Paul McCartney released another day in UK
Kurt Cobain - 1967,Rihanna - 1988,Trevor Noah - 1984,Anthony Head - 1954,Feruccio Lamborghini - 1996,Sandra Dee - 2005,1811 - Austria declares bankruptcy,1938 - Anthony Eden resigns as foreign secretary
Alan Rickman - 1946,Sophie Turner - 1996,Michael McIntyre - 1976,Katie McGrath - 1983,Tim Horton - 1974,Howard Florey - 1968,1848 - Karl Marx publishes the communist manifesto,1953 - Structure of DNA molecule discovered
Drew Barrymore - 1975,Steve Irwin - 1962,Bruce Forsyth - 1928,Julie Walters - 1950,Andy Warhol - 1987,Nicholas Courtney - 2011,1854 - First meeting of US Republican Party,1968 - Genesis release their first record - The Silent Sun
Josh Gad - 1981,Emily Blunt - 1983,Kelly MacDonald - 1976,Skylar Grey - 1986,Stan Laurel - 1965,John Keats - 1821,1782 - First patent for steam engine is granted,1919 - Italian fascist party founded by Mussolini
Steve Jobs - 1955,Floyd Mayweather Jr - 1977,Ramona Marquez - 2001,Erna Solberg - 1961,Bobby Moore - 1993,Dennis Weaver - 2006,1868 - Congress votes to impeach Andrew Jackson,1924 - Gandhi released from prison
Sean Astin - 1971,George Harrison - 1943,Lee Evans - 1964,Ed Balls - 1967,Don Bradman - 2001,Bill Paxton - 2017,1793 - First meeting of US cabinet,1862 - Paper currency introduced in US
Johnny Cash - 1932,Nate Ruess - 1982,Pepe - 1983,Danny Mac - 1988,Bill Hicks - 1994,Wendy Richard - 2009,1863 - Single currency established in US ,1938 - First passenger ship equipped with radar
Timothy Spall - 1957,John Steinbeck - 1902,Peter Andre - 1973,Kate Mara - 1983,Leonard Nimoy - 2015,Spike Milligan - 2002,1816 - Dutch regain Suriname from the french,1980 - Robert Mugabe comes to power in Zimbabwe
Ainsley Harriott - 1957,Jake Bugg - 1994,Daniel Handler - 1970,Sarah Bolger - 1991,George Kennedy - 2016,Jane Russell - 2011,1784 - John Wesley founds methodist church,1984 - Michael Jackson wins 8 awards at 26th Grammies
Mark Foster - 1984,Jessie Usher - 1992,Ja Rule - 1976,Benedikt Howedes - 1988,Davy Jones - 2012,Lee Reherman - 2016,1960 - First playboy club opens in Chicago,1984 - Pierre Trudeau steps down as prime minister of Canada
Paul Hollywood - 1966,Jensen Ackles - 1978,Lupita Nyong'o - 1983,Roger Daltrey - 1944,Dixie Dean - 1980,Jackie Coogan - 1984,1780 - Pennsylvania is first state to abolish slavery,1961 - JFK establishes the peace corps
Jon Bon Jovi - 1962,Daniel Craig - 1968,Chris Martin - 1977,Nathalie Emmanuel - 1989,Dusty Springfield - 1999,John Wesley - 1791,1882 - Failed assassination attempt on Queen Victoria,1946 - Ho Chi Minh elected president of Vietnam
Alexander Graham Bell - 1847,Jessica Biel - 1982,Ronan Keating - 1977,Ian Beattie - 1965,Martin Crowe - 2016,Tommy Page - 2017,1791 - US Mint established,1845 - Florida becomes 27th state
Kenny Dalglish - 1951,Brooklyn Beckham - 1999,Catherine O'Hara - 1954,Erik Lamela - 1992,John Candy - 1994,Joey Martin Feek - 2016,1665 - Charles II declares war on the Netherlands,1789 - 1st US Congress meets
Matt Lucas - 1974,Andy Gibb - 1958,Dan Carter - 1982,Jake Lloyd - 1989,Hugo Chavez - 2013,Paul Bearer - 2013,1917 - Woodrow Wilson inaugrated for a second term,1946 - Churchill's 'Iron Curtain' speech
Shaquille O'Neal - 1972,David Gilmour - 1946,Michaelangelo - 1475,Simon Mignolet - 1988,Nancy Reagan - 2016,Georgia O'Keeffe,1521 - Island of Guam discovered,1869 - Mendeleev presents first periodic table
Bryan Cranston - 1956,Rachel Weisz - 1970,Rik Mayall - 1958,Justin Kelly - 1925,Pee Wee King - 2000,Stanley Kubrick - 1999,1530 - Henry VIII divorce request denied by the pope,1936 - Hitler sends troops to the Rhineland
Freddie Prinze Jr - 1976,James Van Der Beek - 1977,Kristen Halby - 1993,Kenny Smith - 1965,William Howard Taft - 1930,Joe DiMaggio - 1999,1855 - 1st train crosses first railway suspension bridge in US,1920 - Denmark and Cuba join League of Nations
Oscar Isaac - 1979,Clint Dempsey - 1983,Wretch 32 - 1985,Klariza Clayton - 1989,Notorious B.I.G - 2017,George Burns - 1996,2011 - SS Discovery makes its 39th - and final - landing,1953 - Josef Stalin buried in Moscow
Chuck Norris - 1940,Jon Hamm - 1971,Sepp Blatter - 1926,Sharon Stone - 1958,Andy Gibb - 1988,Keith Emerson - 2016,1997 - 'Buffy the Vampire Slayer' premieres on television,1978 - The Incredible Hilk premieres on CBS
